entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason
2016-12-05 03:00:00+00:00,2016-12-08 21:00:00+00:00,1,-2.0224,-3.0387,90,-0.010160981998907526,-1.016323,END_OF_WINDOW
2016-12-08 22:00:00+00:00,2016-12-28 21:00:00+00:00,1,-2.0625,-0.2228,335,0.019307176925608793,1.839687,END_OF_WINDOW
2017-01-12 08:00:00+00:00,2017-01-17 21:00:00+00:00,1,-2.0513,-2.0074,85,0.00045716029747971954,0.043926,END_OF_WINDOW
2017-01-17 22:00:00+00:00,2017-02-06 21:00:00+00:00,1,-2.1338,-1.5814,335,0.0053528140841982985,0.552426,END_OF_WINDOW
2017-03-17 15:00:00+00:00,2017-03-27 13:00:00+00:00,-1,2.0243,3.6724,142,-0.014261131445995945,-1.648126,STOP_LOSS
2017-03-27 14:00:00+00:00,2017-04-05 20:00:00+00:00,-1,3.606,1.9256,174,0.014540861814946016,1.680454,END_OF_WINDOW
2017-04-19 18:00:00+00:00,2017-04-25 20:00:00+00:00,-1,2.0927,2.8878,98,-0.008020677454344094,-0.795093,END_OF_WINDOW
2017-04-25 21:00:00+00:00,2017-05-02 15:00:00+00:00,-1,2.3666,3.5711,114,-0.012958749608515896,-1.204512,STOP_LOSS
2017-05-02 16:00:00+00:00,2017-05-05 04:00:00+00:00,-1,3.4295,4.0042,60,-0.006182928664451803,-0.574701,STOP_LOSS
2017-05-05 05:00:00+00:00,2017-05-15 20:00:00+00:00,-1,3.9832,2.6727,159,0.014098675185349241,1.310468,END_OF_WINDOW
2017-06-14 09:00:00+00:00,2017-06-22 20:00:00+00:00,1,-2.0156,-1.7434,155,0.003552527003627348,0.272187,END_OF_WINDOW
2017-06-27 18:00:00+00:00,2017-07-04 13:00:00+00:00,1,-2.0256,-3.5971,115,-0.016791963264428333,-1.571482,STOP_LOSS
2017-07-04 14:00:00+00:00,2017-07-07 12:00:00+00:00,1,-3.7337,-3.8401,70,-0.001137325748489959,-0.106437,STOP_LOSS
2017-07-07 13:00:00+00:00,2017-07-12 01:00:00+00:00,1,-3.8595,-3.804,60,0.0005930563113933918,0.055501,STOP_LOSS
2017-07-12 21:00:00+00:00,2017-07-25 16:00:00+00:00,1,-2.7638,-3.528,211,-0.010750976668643664,-0.764188,STOP_LOSS
