entry_time,exit_time,direction,entry_z,exit_z,bars_held,pnl_raw,pnl_norm,exit_reason,spread_std
2016-11-09 18:00:00+00:00,2016-11-14 00:00:00+00:00,1,-2.0642,-3.6572,54,-0.012403400028597647,-1.592939,STOP_LOSS,0.007786486475211753
2016-11-14 01:00:00+00:00,2016-11-15 18:00:00+00:00,1,-3.7677,-4.6337,41,-0.006743157341960709,-0.866008,STOP_LOSS,0.007786486475211753
2016-11-15 19:00:00+00:00,2016-11-17 12:00:00+00:00,1,-4.6627,-4.6662,41,-2.694372007461948e-05,-0.00346,STOP_LOSS,0.007786486475211753
2016-11-17 13:00:00+00:00,2016-11-21 05:00:00+00:00,1,-4.9758,-5.9358,41,-0.007475403779440171,-0.960048,STOP_LOSS,0.007786486475211753
2016-11-21 06:00:00+00:00,2016-11-23 00:00:00+00:00,1,-5.8534,-5.716,41,0.0010703554462784537,0.137463,STOP_LOSS,0.007786486475211753
2016-11-23 01:00:00+00:00,2016-11-24 18:00:00+00:00,1,-5.7274,-6.5974,41,-0.006774243483898844,-0.87,STOP_LOSS,0.007786486475211753
2016-11-24 19:00:00+00:00,2016-11-28 12:00:00+00:00,1,-6.6102,-6.2117,41,0.0031029651323783297,0.398506,STOP_LOSS,0.007786486475211753
2016-11-28 13:00:00+00:00,2016-11-30 06:00:00+00:00,1,-6.392,-5.6905,41,0.005462282610548291,0.701508,STOP_LOSS,0.007786486475211753
2016-11-30 07:00:00+00:00,2016-12-02 00:00:00+00:00,1,-5.786,-5.3891,41,0.003090687462453799,0.39693,STOP_LOSS,0.007786486475211753
2016-12-02 01:00:00+00:00,2016-12-05 18:00:00+00:00,1,-5.3186,-4.1404,41,0.009173868254206158,1.178178,STOP_LOSS,0.007786486475211753
2016-12-05 19:00:00+00:00,2016-12-07 12:00:00+00:00,1,-4.2623,-4.5995,41,-0.002625134885369841,-0.33714,STOP_LOSS,0.007786486475211753
2017-05-16 06:00:00+00:00,2017-05-21 22:00:00+00:00,-1,2.0196,3.5143,88,-0.014501353524041454,-1.494707,STOP_LOSS,0.009701805195549657
2017-05-21 23:00:00+00:00,2017-05-24 11:00:00+00:00,-1,3.5106,3.5067,60,3.753460073256665e-05,0.003869,STOP_LOSS,0.009701805195549657
2017-05-24 12:00:00+00:00,2017-05-29 00:00:00+00:00,-1,3.5976,3.8132,60,-0.0020918422295228972,-0.215614,STOP_LOSS,0.009701805195549657
2017-05-29 01:00:00+00:00,2017-05-31 13:00:00+00:00,-1,3.7827,4.2423,60,-0.004459610666470978,-0.459668,STOP_LOSS,0.009701805195549657
2017-05-31 14:00:00+00:00,2017-06-05 02:00:00+00:00,-1,4.2143,4.6097,60,-0.0038356166073476583,-0.395351,STOP_LOSS,0.009701805195549657
2018-01-02 09:00:00+00:00,2018-01-15 09:00:00+00:00,-1,2.0959,3.5808,216,-0.013347248156883401,-1.484895,STOP_LOSS,0.008988681937463596
2018-01-15 10:00:00+00:00,2018-01-19 03:00:00+00:00,-1,3.7014,3.5082,89,0.001737079405409958,0.193252,STOP_LOSS,0.008988681937463596
2018-01-19 04:00:00+00:00,2018-01-23 16:00:00+00:00,-1,3.4715,3.546,60,-0.0006698091991116373,-0.074517,STOP_LOSS,0.008988681937463596
2018-01-23 17:00:00+00:00,2018-01-26 05:00:00+00:00,-1,3.5598,4.724,60,-0.01046449750914416,-1.164186,STOP_LOSS,0.008988681937463596
2018-02-06 13:00:00+00:00,2018-02-08 09:00:00+00:00,-1,2.0892,0.4199,44,0.009450720293025044,1.669255,MEAN_CROSS,0.005661639588203382
2018-02-13 15:00:00+00:00,2018-02-20 16:00:00+00:00,-1,2.0352,0.4737,121,0.00884092310223264,1.561548,MEAN_CROSS,0.005661639588203382
2018-03-02 10:00:00+00:00,2018-03-16 13:00:00+00:00,-1,2.0002,0.44,244,0.008833429221228428,1.560225,MEAN_CROSS,0.005661639588203382
2018-04-06 14:00:00+00:00,2018-04-17 12:00:00+00:00,1,-2.1422,-3.5496,166,-0.008083593922352722,-1.407313,STOP_LOSS,0.005743991516914396
2018-04-17 13:00:00+00:00,2018-05-24 20:00:00+00:00,1,-3.3412,-1.9906,655,0.0077578276002012725,1.350599,END_OF_WINDOW,0.005743991516914396
2018-05-29 09:00:00+00:00,2018-07-09 15:00:00+00:00,1,-2.1532,0.7341,702,0.021405491090255302,2.887259,MEAN_CROSS,0.007413776909630083
2018-07-23 21:00:00+00:00,2018-08-08 10:00:00+00:00,-1,2.1716,3.6514,277,-0.006905134243496314,-1.479807,STOP_LOSS,0.004666239243793164
2018-08-08 11:00:00+00:00,2018-08-23 14:00:00+00:00,-1,3.5063,3.6806,267,-0.0008135468197688067,-0.174347,STOP_LOSS,0.004666239243793164
2018-08-23 15:00:00+00:00,2018-08-26 21:00:00+00:00,-1,3.6163,4.4005,30,-0.0036596174810942517,-0.784276,STOP_LOSS,0.004666239243793164
2018-08-26 22:00:00+00:00,2018-08-28 04:00:00+00:00,-1,4.4313,4.9107,30,-0.0022371006584633035,-0.479423,STOP_LOSS,0.004666239243793164
2018-08-28 05:00:00+00:00,2018-08-29 11:00:00+00:00,-1,4.9306,4.5954,30,0.0015638761077026442,0.335147,STOP_LOSS,0.004666239243793164
2018-08-29 12:00:00+00:00,2018-09-03 08:00:00+00:00,-1,4.7924,3.5553,68,0.005772240487772362,1.237022,STOP_LOSS,0.004666239243793164
2018-09-03 09:00:00+00:00,2018-09-04 15:00:00+00:00,-1,3.5928,3.5318,30,0.0002845056116733691,0.060971,STOP_LOSS,0.004666239243793164
2018-09-04 16:00:00+00:00,2018-09-05 22:00:00+00:00,-1,3.5052,3.6959,30,-0.0008898450026529614,-0.190699,STOP_LOSS,0.004666239243793164
2018-09-05 23:00:00+00:00,2018-09-19 20:00:00+00:00,-1,3.6823,1.2842,237,0.011190326481494706,2.398147,END_OF_WINDOW,0.004666239243793164
2018-09-21 14:00:00+00:00,2018-09-27 18:00:00+00:00,-1,2.0663,0.4891,100,0.008261549899416687,1.577205,MEAN_CROSS,0.005238094652772741
2018-10-05 15:00:00+00:00,2018-11-05 07:00:00+00:00,1,-2.1934,-3.5751,495,-0.00723776516463201,-1.381755,STOP_LOSS,0.005238094652772741
2018-11-05 08:00:00+00:00,2018-11-07 01:00:00+00:00,1,-3.4534,-3.5012,41,-0.0002504791467192874,-0.047819,STOP_LOSS,0.005238094652772741
2018-11-07 02:00:00+00:00,2018-11-08 16:00:00+00:00,1,-3.3059,-3.6915,38,-0.00201983037196167,-0.385604,STOP_LOSS,0.005238094652772741
2018-11-08 17:00:00+00:00,2018-11-12 07:00:00+00:00,1,-3.9305,-4.6491,38,-0.0037646049806395188,-0.718697,STOP_LOSS,0.005238094652772741
2018-11-12 08:00:00+00:00,2018-11-13 22:00:00+00:00,1,-4.6593,-5.1387,38,-0.0025111618030852906,-0.479404,STOP_LOSS,0.005238094652772741
2018-11-13 23:00:00+00:00,2018-11-15 13:00:00+00:00,1,-4.8076,-3.6071,38,0.006288300899493893,1.200494,STOP_LOSS,0.005238094652772741
2019-01-24 13:00:00+00:00,2019-03-07 14:00:00+00:00,1,-2.046,-3.5732,721,-0.01134174129482568,-1.52721,STOP_LOSS,0.007426442797282482
2019-03-07 15:00:00+00:00,2019-03-12 02:00:00+00:00,1,-3.6747,-3.7805,60,-0.0007858050968875124,-0.105812,STOP_LOSS,0.007426442797282482
2019-03-12 03:00:00+00:00,2019-03-14 15:00:00+00:00,1,-3.7804,-3.5875,60,0.001433033719368676,0.192964,STOP_LOSS,0.007426442797282482
2019-03-28 11:00:00+00:00,2019-04-24 18:00:00+00:00,1,-2.1846,-3.7853,463,-0.008609358977611975,-1.600632,STOP_LOSS,0.005378724430696613
2019-04-24 19:00:00+00:00,2019-04-25 21:00:00+00:00,1,-3.5347,-3.9105,26,-0.002021359250328786,-0.375806,STOP_LOSS,0.005378724430696613
2019-04-25 22:00:00+00:00,2019-04-29 00:00:00+00:00,1,-3.8603,-3.6475,26,0.0011446661754298815,0.212814,STOP_LOSS,0.005378724430696613
2019-04-29 01:00:00+00:00,2019-05-03 10:00:00+00:00,1,-3.6424,-3.512,105,0.0007015557325665278,0.130432,STOP_LOSS,0.005378724430696613
2019-05-03 11:00:00+00:00,2019-05-15 10:00:00+00:00,1,-3.5161,-2.8791,191,0.0034259645003447414,0.636947,END_OF_WINDOW,0.005378724430696613
2019-06-24 08:00:00+00:00,2019-07-05 13:00:00+00:00,-1,2.0593,0.4397,221,0.010713206347644527,1.619597,MEAN_CROSS,0.006614737070640638
2019-07-31 18:00:00+00:00,2019-08-30 15:00:00+00:00,1,-2.0631,-3.5634,525,-0.008692196604554003,-1.500299,STOP_LOSS,0.005793642932050633
2019-08-30 16:00:00+00:00,2019-09-03 21:00:00+00:00,1,-3.591,-3.7862,53,-0.0011306754804746855,-0.195158,STOP_LOSS,0.005793642932050633
2019-09-03 22:00:00+00:00,2019-09-10 10:00:00+00:00,1,-3.7967,-2.8939,108,0.005230694380258721,0.902833,END_OF_WINDOW,0.005793642932050633
2019-09-11 09:00:00+00:00,2019-09-30 12:00:00+00:00,1,-2.045,-3.5623,315,-0.0096952171463153,-1.517326,STOP_LOSS,0.006389673507427402
2019-09-30 13:00:00+00:00,2019-11-07 11:00:00+00:00,1,-3.5472,-3.0603,669,0.0031107890431316815,0.486846,END_OF_WINDOW,0.006389673507427402
